,product_name,energy_100g,fat_100g,saturated-fat_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,calcium_100g,iron_100g,nutrition-score-fr_100g,nutrition-score-uk_100g
3512,diced jalapeno peppers,20.915285161634436,0.0,0.0,0.0,0.0,1.3912962606905042,0.588230930818469,0.2634202349280369,0.0,0.0,0.0,0.0,0.0,-4.0,-4.0
3513,sliced jalapeno peppers,21.691338718414656,0.0,0.0,0.0,0.0,1.0293875044328313,0.60092846852956,0.0,0.0,0.37084396064962677,0.058568862158531416,0.0,0.0,10.0,10.0
3515,stevia blend,0.0,0.0,0.0,0.0,0.0,2.3029066227829063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3521,almond milk,20.915285161634436,0.012190410470893386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3568,reduced sodium chicken broth,7.699107049684906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
3569,chicken broth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
3695,"coconut water, original",19.311056176056795,0.0,0.0,0.0,0.0,0.9840351650473652,0.19216385230391977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3702,dill pickle relish,0.0,0.0,0.0,0.0,0.0,1.3912962606905042,0.0,0.0,0.0,0.3909629110290053,0.18327359210079452,0.0,0.0,10.0,10.0
3733,cut green beans,20.915285161634436,0.0,0.0,0.0,0.0,0.9840351650473652,0.3679882300248551,0.23007323912135494,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3740,"extreme fusion water, water beverage",20.915285161634436,0.0,0.0,0.0,0.0,1.1752694887527257,0.6359625287295277,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3758,handpicked asparagus spears,26.22505391408309,0.0,0.0,0.0,0.0,1.0365477310301883,0.5103330062471103,0.13203395991155717,0.15467575594782165,0.0,0.0,0.0,0.0,-2.0,-2.0
3801,chicken broth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3823,gourmet salsa,20.915285161634436,0.0,0.0,0.0,0.0,1.408776709655376,0.0,0.0,0.0,0.1983347558095593,0.0,0.0,0.0,5.0,5.0
3934,salsa snack bowls,20.122328495230843,0.0,0.0,0.0,0.0,1.224856184913674,0.3589189027057226,0.22078217802710345,0.14880421850282663,0.17142460221359745,0.0,0.0,0.0,2.0,2.0
3953,unsweetened almond milk,16.526307196694944,0.012190410470893386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4140,vegetable broth,4.230246161242111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
4141,beef flavored broth,4.230246161242111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
4172,cut green beans,14.673447049360783,0.0,0.0,0.0,0.0,0.6241149714318517,0.009882583008039906,0.0,0.00963809155847103,0.0,0.0,0.0,0.0,0.0,0.0
4181,petite diced peeled tomatoes in tomato juice,23.381815256781973,0.0,0.0,0.0,0.0,0.9740306967236206,0.5163750926405445,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
4186,chicken broth,10.205901688142003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
4187,beef flavored broth,4.230246161242111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
4188,chicken stock,12.418316378495678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.149510582306246,0.0,0.0,0.0,0.0,0.0,0.0
4189,chicken broth,4.230246161242111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
4190,chicken broth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4277,unsweetened almondmilk,20.915285161634436,0.01219041057054495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4278,unsweetened vanilla almond milk,20.915285161634436,0.01219041057054495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4320,zero calorie sweetener,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4414,"tomatillo salsa verde, mild",20.915285161634436,0.0,0.0,0.0,0.0,1.3912962606905042,0.588230930818469,0.2634202349280369,0.0,0.24046966329381525,0.0,0.0,0.0,2.0,2.0
4459,"gel bites, strawberry",21.691338718414656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15517603031907068,0.0,0.0,0.0,0.0,-2.0,-2.0
4460,"gel bites, black cherry",21.691338718414656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15517603031907068,0.0,0.0,0.0,0.0,-2.0,-2.0
4519,"fresh selections, classic garden",21.691338718414656,0.0,0.0,0.0,0.0,1.0221184730395447,0.5026777163543474,0.13203395991155717,0.10177981417318517,0.0,0.0,0.0,0.0,-1.0,-1.0
4520,"iceberg lettuce, carrots & red cabbage classic garden",21.691338718414656,0.0,0.0,0.0,0.0,1.0221184730395447,0.5026777163543474,0.13203395991155717,0.10177981417318517,0.0,0.0,0.0,0.0,-1.0,-1.0
4521,"fresh selections, romaine lettuce carrots & red cabbage, romaine blend",26.22505391408309,0.0,0.0,0.0,0.0,1.199529749586032,0.5026777163543474,0.13203395991155717,0.10177981417318517,0.0,0.0,0.0,0.0,-1.0,-1.0
4522,fresh selections greener & red cabbage greener supreme,21.691338718414656,0.0,0.0,0.0,0.0,1.199529749586032,0.5026777163543474,0.13203395991155717,0.10177981417318517,0.0,0.0,0.0,0.0,-1.0,-1.0
4524,"fresh selections, american blend; romain lettuce, iceberg lettuce, red cabbage, carrots & radish",21.691338718414656,0.0,0.0,0.0,0.0,1.0221184730395447,0.5026777163543474,0.13203395991155717,0.10177981417318517,0.0,0.0,0.0,0.0,-1.0,-1.0
4525,"fresh selection, field green",26.22505391408309,0.0,0.0,0.0,0.0,1.199529749586032,0.5026777163543474,0.13203395991155717,0.10177981417318517,0.0,0.0,0.0,0.0,-1.0,-1.0
4526,hearts of romaine,21.691338718414656,0.0,0.0,0.0,0.0,1.0221184730395447,0.5026777163543474,0.13203395991155717,0.10177981417318517,0.0,0.0,0.0,0.0,-1.0,-1.0
4527,"fresh selections, italian style blend, romaine lettuce & radicchio",21.691338718414656,0.0,0.0,0.0,0.0,1.0221184730395447,0.5026777163543474,0.13203395991155717,0.10177981417318517,0.0,0.0,0.0,0.0,-1.0,-1.0
4528,"fresh selections, leafy romaine, romaine lettuce & leaf lettuces",21.691338718414656,0.0,0.0,0.0,0.0,1.0221184730395447,0.5026777163543474,0.13203395991155717,0.10177981417318517,0.0,0.0,0.0,0.0,-1.0,-1.0
4529,"fresh selections, veggie blend",21.691338718414656,0.0,0.0,0.0,0.0,1.0221184730395447,0.5026777163543474,0.13203395991155717,0.10177981417318517,0.0,0.0,0.0,0.0,-1.0,-1.0
4530,baby spinach,26.22505391408309,0.0,0.0,0.0,0.0,1.0221184730395447,0.0,0.25646948293272404,0.15458111205447744,0.0,0.0,0.0,0.0,-4.0,-4.0
4531,baby spinach,26.22505391408309,0.0,0.0,0.0,0.0,1.0221184730395447,0.0,0.25646948293272404,0.15458111205447744,0.0,0.0,0.0,0.0,-4.0,-4.0
4532,"kroger, baby spring mix",26.22505391408309,0.0,0.0,0.0,0.0,1.0221184730395447,0.0,0.13203395991155717,0.15458111205447744,0.0,0.0,0.0,0.0,-2.0,-2.0
4533,"fresh selections, 50/50blend, baby spinach & spring mix",26.22505391408309,0.0,0.0,0.0,0.0,1.0221184730395447,0.0,0.13203395991155717,0.15458111205447744,0.0,0.0,0.0,0.0,-2.0,-2.0
4534,butter lettuce & lolla rosa,16.526307196694944,0.0,0.0,0.0,0.0,0.7397073962054344,0.14803416720711624,0.13203395991155717,0.10177981417318517,0.0,0.0,0.0,0.0,-1.0,-1.0
4537,baby spring mix with herbs,26.22505391408309,0.0,0.0,0.0,0.0,1.0221184730395447,0.0,0.13203395991155717,0.15458111205447744,0.0,0.0,0.0,0.0,-2.0,-2.0
4538,baby romaine,21.691338718414656,0.0,0.0,0.0,0.0,1.0221184730395447,0.14803416720711624,0.25646948293272404,0.10177981417318517,0.0,0.0,0.0,0.0,-3.0,-3.0
4539,baby spinach,26.22505391408309,0.0,0.0,0.0,0.0,1.0221184730395447,0.0,0.25646948293272404,0.15458111205447744,0.0,0.0,0.0,0.0,-4.0,-4.0
4540,baby spring mix,26.22505391408309,0.0,0.0,0.0,0.0,1.0221184730395447,0.0,0.13203395991155717,0.15458111205447744,0.0,0.0,0.0,0.0,-2.0,-2.0
4541,organic baby lettuces spring mix,26.22505391408309,0.0,0.0,0.0,0.0,1.0221184730395447,0.0,0.13203395991155717,0.15458111205447744,0.0,0.0,0.0,0.0,-2.0,-2.0
4542,baby arugula,26.22505391408309,0.0,0.0,0.0,0.0,1.0221184730395447,0.5026777163543474,0.13203395991155717,0.15458111205447744,0.0,0.0,0.0,0.0,-2.0,-2.0
4543,baby spinach,26.22505391408309,0.0,0.0,0.0,0.0,1.0221184730395447,0.0,0.25646948293272404,0.15458111205447744,0.0,0.0,0.0,0.0,-4.0,-4.0
4559,vegetable broth,7.699107049684906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
4569,50/50 blend a perfect balance of tender spinach & spring mix leaves,26.22505391408309,0.0,0.0,0.0,0.0,1.0221184730395447,0.0,0.25646948293272404,0.15458111205447744,0.0,0.0,0.0,0.0,-3.0,-3.0
4578,romaine hearts,26.22505391408309,0.0,0.0,0.0,0.0,1.0221184730395447,0.5026777163543474,0.13203395991155717,0.10177981417318517,0.0,0.0,0.0,0.0,-1.0,-1.0
4579,hearts of romaine,21.691338718414656,0.0,0.0,0.0,0.0,1.0221184730395447,0.14803416720711624,0.25646948293272404,0.10177981417318517,0.0,0.0,0.0,0.0,-3.0,-3.0
4878,tomato 100% juice from concentrate,22.451723811411036,0.0,0.0,0.0,0.0,1.12677145253246,0.5606801981972991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4879,organic 100% vegetable juice,24.110733835537836,0.0,0.0,0.0,0.0,1.12677145253246,0.4616250626651292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
